ts,price_now,market_now
2025-10-22T11:38:42.692643,0.0,0.0
2025-10-22T11:51:15.677260,0.0,0.0
2025-10-22T12:32:20.201411,0.0,0.0
2025-10-22T16:31:37.081459,0.0,0.0
2025-10-22T16:33:52.352856,0.0,0.0
2025-10-22T19:31:59.919241,0.0,0.0
2025-10-22T19:34:44.134574,0.0,0.0
2025-10-23T01:47:16.283346,1.49,1.49
2025-10-23T13:36:51.066017,34.815,34.815
2025-10-24T01:42:48.409471,1.495,1.495
2025-10-25T01:44:00.702332,1.48,1.48
2025-10-26T01:52:48.833004,1.55,1.55
2025-10-27T01:56:59.840873,1.5899999999999999,1.5899999999999999
2025-10-28T01:46:44.344350,1.565,1.565
2025-10-29T01:55:02.569849,1.645,1.645
2025-10-30T01:53:19.998418,1.6,1.6
2025-10-31T01:49:36.851406,1.54,1.54
2025-11-01T01:54:49.053878,1.555,1.555
2025-11-02T01:56:58.609957,1.5750000000000002,1.5750000000000002
2025-11-03T01:54:45.432207,1.58,1.58
2025-11-04T01:41:28.988595,1.6099999999999999,1.6099999999999999
2025-11-05T01:42:27.928248,1.565,1.565
